id,grp
5694584,B
5694830,B
5695057,B
5698872,B
5699067,B
5699132,B
5699712,B
5700613,B
5700771,B
5701056,B
5701066,B
5701319,A
5701478,B
5701605,A
5702685,A
5704987,B
5705829,B
5706554,B
5707746,B
5707817,B
5708067,B
5710561,B
5711045,B
5712784,B
5712823,A
5713186,B
5713670,B
5713697,A
5713887,A
5715660,B
5717070,B
5717090,B
5717588,A
5717725,B
5718649,A
5719575,B
5720553,B
5720743,B
5721956,B
5723133,A
5723648,B
5724736,B
5727888,B
5728431,B
5729371,A
5729632,B
5729636,A
5729681,B
5730089,B
5730382,B
5731760,A
5735616,B
5738200,A
5739877,B
5739944,B
5740903,B
5744798,B
5749372,B
5752725,B
5760471,B
5770379,B
5777081,B
5779933,A
5784765,B
5786887,B
5790911,B
5793273,A
5816708,A
5821329,B
5838596,B
5838604,B
5841347,B
5845007,B
5845797,A
5870856,A
5899968,B
5921522,A
5945085,B
5951797,B
5959807,B
5962366,B
101067612,B
200247805,B
200247808,A
200247809,A
200247814,A
200247816,B
200247820,B
201032527,B
201067612,B
201067653,B
201067659,B
